problem,grid,noise,sigma,seed,method,coefficient_error,coefficient_linf,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms
burgers,256×256,0.0,0.0,0,WSINDy,4.308458611002042e-05,4.308458611002042e-05,True,True,1,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.006989208020968363,0.032013332995120436,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.499978457706945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[9]
burgers,256×256,0.0,0.0,0,WENDy HT,1.0,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,True,IRLS step tolerance,1,0.000920082995435223,0.025944207969587296,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.8083076796892286e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[5]
burgers,256×256,0.0,0.0,0,WENDy-MLE HT,1.0,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,True,IRLS step tolerance,1,0.0009985000069718808,0.026022624981123954,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.8083076796892286e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[5]
burgers,256×256,0.2,139.9403436083024,0,WSINDy,0.004691197968604954,0.004691197968604954,True,True,1,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.009068582992767915,0.03772649899474345,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4976544010156975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[9]
burgers,256×256,0.2,139.9403436083024,0,WENDy HT,1.0,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,False,IRLS iteration limit,300,433.4925258340081,433.5211837500101,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.742140154434486e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[5]
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE HT,1.0040976736485958,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,False,Desired error not necessarily achieved due to precision loss.,119,458.11363766601426,458.14229558201623,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04531042437045292, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[18]
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=1e-06,1805436377239035.2,1.9615897141171459,True,False,1,42,0,0.023255813953488372,1.0,0.045454545454545456,0.023255813953488372,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,191,966.6056687080127,966.6343266240146,"[-30.697779967387493, 2.295101577878623, -0.004668414193647998, -3.6507072423990715e-05, 1.1082545849999735e-07, -1.000240957401025e-10, 2.84941300802307e-14, 0.0, 547.2034227264327, 0.48079485705857294, -0.004592422288318169, -4.240142001123188e-08, 5.259411900036253e-09, -2.2662820647594134e-12, 0.0, 718718.8818545772, 4105.1629116322665, -26.124077283223656, 0.044627180586067024, -2.958326859229174e-05, 6.500692448950107e-09, 0.0, 248018550.3137776, -321506.62057753257, -609.7007088193426, 0.6020967012653031, 0.00023688873104644556, -1.9386315901328456e-07, 0.0, 11028801628.387789, 520111162.8086372, -1704743.5113958828, 1965.8940574583469, -0.8695987824473106, 9.488212390049065e-05, 0.0, 1846789972750.1155, 12161218245.48992, 25156222.37763594, -180704.4473747877, 211.8958699386115, -0.07160314994786877, 0.0, -902663906066114.5, 9725716666011.66, -16799831321.207493, 7609620.830631309, 2682.744384177615, -2.0545843767238656]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=0.0001,inf,inf,False,False,nan,nan,nan,nan,nan,nan,nan,False,318-th leading minor of the array is not positive definite,0,139.84692787501263,139.8755857910146,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",[]
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=0.01,37245173640.55211,0.18808295482752546,True,False,1,10,0,0.09090909090909091,1.0,0.16666666666666666,0.09090909090909091,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,268,1389.2995129999763,1389.3281709159783,"[3.137992867136013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -66.79236285340406, -0.40595852258623727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -817556783.9060125, -1418605.3338574676, 0.0, 0.0, 0.0017741766299361522, 0.0, 0.0, -18604596010.421394, -36688695.53229615, 0.0, 5.3353044674506265, 0.006673161402861522, 3.7426168817908606e-07]","[0, 8, 9, 36, 37, 40, 43, 44, 46, 47, 48]"
burgers,256×256,0.2,139.9403436083024,1,WSINDy,0.007004244803385129,0.007004244803385129,True,True,1,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.01869633301976137,0.06663791602477431,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5035021224016926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[9]
